error_multiplier,mean_safety_stock,mean_rop,total_annual_cost,reorder_now_count,cost_vs_baseline_pct
0.25,63.098093744454815,205.89384122862873,130865288.39226905,1090,-0.007918119422667583
0.5,63.10008157020283,205.89582905437675,130867364.06578374,1090,-0.006332130360262497
0.75,63.10339112500518,205.8991386091791,130870820.06764966,1090,-0.0036914543964348275
1.0,63.10801724672194,205.90376473089586,130875651.2826328,1090,0.0
1.25,63.11395284384317,205.90970032801704,130881850.67696351,1090,0.004736858437725943
1.5,63.121189020981134,205.916936505155,130889409.41719577,1090,0.010512371421371418
2.0,63.13951942185909,205.935266906033,130908561.46899556,1090,0.025146149066098637
3.0,63.19123280882054,205.98698029299445,130962625.02144237,1090,0.06645524813606951
